Station_Id_C Year_Data Mon_Data Day_Data Hour_Data EVSS V03099 Time_Dev_WQ Lat_Dev Lon_Dev PRS_HWC GPH WIN_D WIN_S TEM DPT DTD
58238 2022 3 15 0 8192.0000 20220314231557 2641.0000 -0.1413 0.4934 77.4000 17927.0000 999999.0000 999999.0000 -68.3000 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 1153.0000 -0.0263 0.0711 415.3000 7132.0000 317.0000 14.9000 -25.8000 -47.3999 21.5999 
58238 2022 3 15 0 8192.0000 20220314231557 1958.0000 -0.1331 0.2406 174.6000 12857.0000 281.0000 41.7000 -52.3999 -80.0999 27.6999 
58238 2022 3 15 0 8192.0000 20220314231557 2632.0000 -0.1413 0.4923 78.2000 17860.0000 999999.0000 999999.0000 -67.4999 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 2373.0000 -0.1421 0.4224 107.2000 15945.0000 272.0000 38.0000 -65.1000 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 82.0000 0.0032 -0.0062 958.8000 485.0000 142.0000 9.8000 12.7999 -1.0000 13.7999 
58238 2022 3 15 0 65536.0000 20220314231557 255.0000 0.0114 -0.0037 850.0000 1493.0000 260.0000 3.8000 15.2000 -6.2999 21.5000 
58238 2022 3 15 0 8192.0000 20220314231557 816.0000 -0.0016 0.0317 552.9000 4971.0000 305.0000 10.6000 -7.0999 -48.6000 41.5000 
58238 2022 3 15 0 8192.0000 20220314231557 30.0000 0.0007 -0.0024 991.5000 199.0000 115.0000 7.6000 10.4000 3.5000 6.9000 
58238 2022 3 15 0 8192.0000 20220314231557 783.0000 0.0000 0.0291 566.9000 4766.0000 308.0000 9.0000 -7.3999 -48.8000 41.4000 
58238 2022 3 15 0 8192.0000 20220314231557 1419.0000 -0.0641 0.1035 321.4000 8924.0000 326.0000 22.4000 -40.3999 -71.5999 31.1999 
58238 2022 3 15 0 8192.0000 20220314231557 1170.0000 -0.0282 0.0730 408.8000 7243.0000 318.0000 15.1000 -26.4999 -49.6999 23.2000 
58238 2022 3 15 0 8192.0000 20220314231557 1765.0000 -0.1110 0.1641 219.4000 11389.0000 290.0000 36.1000 -56.4999 -83.0999 26.5999 
58238 2022 3 15 0 8192.0000 20220314231557 1838.0000 -0.1204 0.1922 202.1000 11945.0000 292.0000 39.2000 -53.3999 -80.8999 27.5000 
58238 2022 3 15 0 65536.0000 20220314231557 1488.0000 -0.0752 0.1121 300.0000 9389.0000 328.0000 23.5000 -44.3000 -74.3000 30.0000 
58238 2022 3 15 0 8192.0000 20220314231557 1101.0000 -0.0219 0.0660 436.0000 6792.0000 315.0000 14.4000 -22.3000 -43.6000 21.2999 
58238 2022 3 15 0 8192.0000 20220314231557 0.0000 0.0000 0.0000 1011.0000 36.0000 92.0000 3.5000 11.1000 4.1000 7.0000 
58238 2022 3 15 0 8192.0000 20220314231557 2.0000 0.0000 0.0000 1010.3000 46.0000 94.0000 3.8000 11.5000 4.4000 7.0999 
58238 2022 3 15 0 8192.0000 20220314231557 137.0000 0.0069 -0.0078 923.7000 788.0000 194.0000 7.0000 12.1000 10.0000 2.1000 
58238 2022 3 15 0 8192.0000 20220314231557 2165.0000 -0.1399 0.3337 137.7000 14413.0000 274.0000 42.5000 -58.3000 -84.3999 26.0999 
58238 2022 3 15 0 8192.0000 20220314231557 66.0000 0.0019 -0.0051 969.3000 397.0000 134.0000 9.2000 12.4000 -0.7999 13.1999 
58238 2022 3 15 0 8192.0000 20220314231557 1288.0000 -0.0426 0.0861 365.0000 8037.0000 324.0000 19.6000 -33.6000 -60.1000 26.5000 
58238 2022 3 15 0 65536.0000 20220314231557 516.0000 0.0088 0.0132 700.0000 3099.0000 287.0000 7.3000 3.7000 -28.8999 32.6000 
58238 2022 3 15 0 8192.0000 20220314231557 58.0000 0.0014 -0.0047 973.5000 353.0000 129.0000 8.8000 10.7000 3.2999 7.4000 
58238 2022 3 15 0 8192.0000 20220314231557 552.0000 0.0082 0.0157 681.0000 3324.0000 290.0000 5.7000 2.6000 -42.1000 44.7000 
58238 2022 3 15 0 8192.0000 20220314231557 699.0000 0.0035 0.0241 606.3000 4244.0000 304.0000 6.2000 -3.2000 -45.9999 42.7999 
58238 2022 3 15 0 8192.0000 20220314231557 1173.0000 -0.0288 0.0736 407.6000 7263.0000 318.0000 15.2000 -26.1999 -50.6000 24.4000 
58238 2022 3 15 0 8192.0000 20220314231557 1085.0000 -0.0202 0.0641 442.0000 6687.0000 314.0000 14.8000 -21.6999 -40.6999 19.0000 
58238 2022 3 15 0 8192.0000 20220314231557 1905.0000 -0.1294 0.2197 186.7000 12454.0000 286.0000 40.1000 -52.3999 -80.0999 27.6999 
58238 2022 3 15 0 8192.0000 20220314231557 215.0000 0.0104 -0.0051 873.9000 1255.0000 225.0000 5.8000 15.2999 1.2999 14.0000 
58238 2022 3 15 0 8192.0000 20220314231557 1268.0000 -0.0392 0.0832 372.5000 7901.0000 324.0000 18.5000 -32.3000 -59.1000 26.7999 
